"Notes"	"Age of Infant at Death"	"Age of Infant at Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"1 - 23 hours"	"02"	"Thrombocytopenia, unspecified"	"D69.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Agranulocytosis"	"D70"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Immunodeficiency, unspecified"	"D84.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acromegaly and pituitary gigantism"	"E22.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Short stature, not elsewhere classified"	"E34.3"	11	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified protein-energy malnutrition"	"E46"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorders of fatty-acid metabolism"	"E71.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorders of urea cycle metabolism"	"E72.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Glycogen storage disease"	"E74.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other sphingolipidosis"	"E75.2"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Hyperlipidaemia, unspecified"	"E78.5"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorders of phosphorus metabolism"	"E83.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorders of calcium metabolism"	"E83.5"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cystic fibrosis, unspecified"	"E84.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Volume depletion"	"E86"	13	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acidosis"	"E87.2"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Hyperkalaemia"	"E87.5"	10	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	"E87.8"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Metabolic disorder, unspecified"	"E88.9"	13	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified dementia"	"F03"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Meningitis, unspecified"	"G03.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Spinal muscular atrophy, unspecified"	"G12.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Parkinson disease"	"G20"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Dystonia, unspecified"	"G24.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Demyelinating disease of central nervous system, unspecified"	"G37.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Brachial plexus disorders"	"G54.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Inflammatory polyneuropathy, unspecified"	"G61.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital and developmental myasthenia"	"G70.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Myoneural disorder, unspecified"	"G70.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Myotonic disorders"	"G71.1"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital myopathies"	"G71.2"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Hydrocephalus, unspecified"	"G91.9"	6	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Toxic encephalopathy"	"G92"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cerebral cysts"	"G93.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Encephalopathy, unspecified"	"G93.4"	23	40445070	0.00
	"1 - 23 hours"	"02"	"Other specified disorders of brain"	"G93.8"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorder of brain, unspecified"	"G93.9"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Syringomyelia and syringobulbia"	"G95.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acute myocardial infarction, unspecified"	"I21.9"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Atherosclerotic heart disease"	"I25.1"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Ischaemic cardiomyopathy"	"I25.5"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Primary pulmonary hypertension"	"I27.0"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other secondary pulmonary hypertension"	"I27.2"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pulmonary heart disease, unspecified"	"I27.9"	8	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pericardial effusion (noninflammatory)"	"I31.3"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disease of pericardium, unspecified"	"I31.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Aortic (valve) stenosis"	"I35.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Dilated cardiomyopathy"	"I42.0"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other hypertrophic cardiomyopathy"	"I42.2"	11	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Endocardial fibroelastosis"	"I42.4"	18	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other restrictive cardiomyopathy"	"I42.5"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cardiomyopathy, unspecified"	"I42.9"	21	40445070	0.00
	"1 - 23 hours"	"02"	"Atrioventricular block, complete"	"I44.2"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified conduction disorders"	"I45.8"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Sudden cardiac death, so described"	"I46.1"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cardiac arrest, unspecified"	"I46.9"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Supraventricular tachycardia"	"I47.1"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congestive heart failure"	"I50.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Heart failure, unspecified"	"I50.9"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Myocarditis, unspecified"	"I51.4"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Myocardial degeneration"	"I51.5"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cardiovascular disease, unspecified"	"I51.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cardiomegaly"	"I51.7"	6	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other ill-defined heart diseases"	"I51.8"	10	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Heart disease, unspecified"	"I51.9"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Intracerebral haemorrhage, unspecified"	"I61.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other cerebral infarction"	"I63.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Stroke, not specified as haemorrhage or infarction"	"I64"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified cerebrovascular diseases"	"I67.8"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Generalized and unspecified atherosclerosis"	"I70.9"	18	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Arteritis, unspecified"	"I77.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorder of arteries and arterioles, unspecified"	"I77.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Budd-Chiari syndrome"	"I82.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Lymphoedema, not elsewhere classified"	"I89.0"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Hypotension, unspecified"	"I95.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pneumonia, unspecified"	"J18.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified diseases of upper respiratory tract"	"J39.8"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Predominantly allergic asthma"	"J45.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Adult respiratory distress syndrome"	"J80"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pulmonary oedema"	"J81"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Alveolar and parietoalveolar conditions"	"J84.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pyothorax with fistula"	"J86.0"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pleural effusion, not elsewhere classified"	"J90"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Spontaneous tension pneumothorax"	"J93.0"	20	40445070	0.00
	"1 - 23 hours"	"02"	"Respiratory failure, unspecified"	"J96.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Respiratory disorder, unspecified"	"J98.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Major anomalies of jaw size"	"K07.0"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Perforation of oesophagus"	"K22.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acute appendicitis with generalized peritonitis"	"K35.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified appendicitis"	"K37"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Diaphragmatic hernia without obstruction or gangrene"	"K44.9"	71	40445070	0.00
	"1 - 23 hours"	"02"	"Unspecified abdominal hernia without obstruction or gangrene"	"K46.9"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acute vascular disorders of intestine"	"K55.0"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Vascular disorder of intestine, unspecified"	"K55.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Volvulus"	"K56.2"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified diseases of intestine"	"K63.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Haemoperitoneum"	"K66.1"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified disorders of peritoneum"	"K66.8"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other and unspecified cirrhosis of liver"	"K74.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified diseases of liver"	"K76.8"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Liver disease, unspecified"	"K76.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other intestinal malabsorption"	"K90.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorder of skin and subcutaneous tissue, unspecified"	"L98.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pyogenic arthritis, unspecified"	"M00.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Ischaemic infarction of muscle"	"M62.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Fibroblastic disorder, unspecified"	"M72.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Nephrotic syndrome, unspecified"	"N04.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Obstructive and reflux uropathy, unspecified"	"N13.9"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Acute renal failure, unspecified"	"N17.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified renal failure"	"N19"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Calculus of kidney"	"N20.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorder of kidney and ureter, unspecified"	"N28.9"	6	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Bladder-neck obstruction"	"N32.0"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified disorders of bladder"	"N32.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Urethral syndrome, unspecified"	"N34.3"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Disorder of urinary system, unspecified"	"N39.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Inflammatory disease of uterus, unspecified"	"N71.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Haematometra"	"N85.7"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Incompetence of cervix uteri"	"N88.3"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	369	40445070	0.01
	"1 - 23 hours"	"02"	"Newborn affected by maternal renal and urinary tract diseases"	"P00.1"	15	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal infectious and parasitic diseases"	"P00.2"	63	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other maternal circulatory and respiratory diseases"	"P00.3"	14	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal nutritional disorders"	"P00.4"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal injury"	"P00.5"	79	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by surgical procedure on mother"	"P00.6"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by other maternal conditions"	"P00.8"	120	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by unspecified maternal condition"	"P00.9"	17	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by incompetent cervix"	"P01.0"	2558	40445070	0.06
	"1 - 23 hours"	"02"	"Newborn affected by premature rupture of membranes"	"P01.1"	4259	40445070	0.11
	"1 - 23 hours"	"02"	"Newborn affected by oligohydramnios"	"P01.2"	650	40445070	0.02
	"1 - 23 hours"	"02"	"Newborn affected by polyhydramnios"	"P01.3"	44	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by ectopic pregnancy"	"P01.4"	6	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by multiple pregnancy"	"P01.5"	869	40445070	0.02
	"1 - 23 hours"	"02"	"Newborn affected by maternal death"	"P01.6"	10	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by malpresentation before labour"	"P01.7"	14	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	287	40445070	0.01
	"1 - 23 hours"	"02"	"Newborn affected by maternal complication of pregnancy, unspecified"	"P01.9"	13	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by placenta praevia"	"P02.0"	81	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	1677	40445070	0.04
	"1 - 23 hours"	"02"	"Newborn affected by other and unspecified morphological and functional abnormalities of placenta"	"P02.2"	71	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by placental transfusion syndromes"	"P02.3"	249	40445070	0.01
	"1 - 23 hours"	"02"	"Newborn affected by prolapsed cord"	"P02.4"	57	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other compression of umbilical cord"	"P02.5"	44	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other and unspecified conditions of umbilical cord"	"P02.6"	28	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by chorioamnionitis"	"P02.7"	2532	40445070	0.06
	"1 - 23 hours"	"02"	"Newborn affected by other abnormalities of membranes"	"P02.8"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by abnormality of membranes, unspecified"	"P02.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by breech delivery and extraction"	"P03.0"	35	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other malpresentation, malposition and disproportion during labour and delivery"	"P03.1"	17	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by delivery by vacuum extractor [ventouse]"	"P03.3"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by caesarean delivery"	"P03.4"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by precipitate delivery"	"P03.5"	26	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by abnormal uterine contractions"	"P03.6"	27	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	132	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	275	40445070	0.01
	"1 - 23 hours"	"02"	"Newborn affected by other maternal medication"	"P04.1"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal use of tobacco"	"P04.2"	61	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by maternal use of alcohol"	"P04.3"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	115	40445070	0.00
	"1 - 23 hours"	"02"	"Newborn affected by maternal exposure to environmental chemical substances"	"P04.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Newborn affected by maternal noxious influence, unspecified"	"P04.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Light for gestational age"	"P05.0"	6	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Small for gestational age"	"P05.1"	16	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Slow fetal growth, unspecified"	"P05.9"	202	40445070	0.00
	"1 - 23 hours"	"02"	"Extremely low birth weight"	"P07.0"	305	40445070	0.01
	"1 - 23 hours"	"02"	"Other low birth weight"	"P07.1"	14	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Extreme immaturity"	"P07.2"	18147	40445070	0.45
	"1 - 23 hours"	"02"	"Other preterm infants"	"P07.3"	5104	40445070	0.13
	"1 - 23 hours"	"02"	"Other specified brain damage due to birth injury"	"P11.1"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified brain damage due to birth injury"	"P11.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cephalhaematoma due to birth injury"	"P12.0"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other birth injuries to scalp"	"P12.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Birth injury to scalp, unspecified"	"P12.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Birth injury to skeleton, unspecified"	"P13.9"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified birth injuries"	"P15.8"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Birth injury, unspecified"	"P15.9"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Intrauterine hypoxia first noted during labour and delivery"	"P20.1"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Intrauterine hypoxia, unspecified"	"P20.9"	354	40445070	0.01
	"1 - 23 hours"	"02"	"Severe birth asphyxia"	"P21.0"	40	40445070	0.00
	"1 - 23 hours"	"02"	"Birth asphyxia, unspecified"	"P21.9"	490	40445070	0.01
	"1 - 23 hours"	"02"	"Respiratory distress syndrome of newborn"	"P22.0"	1343	40445070	0.03
	"1 - 23 hours"	"02"	"Transient tachypnoea of newborn"	"P22.1"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Respiratory distress of newborn, unspecified"	"P22.9"	219	40445070	0.01
	"1 - 23 hours"	"02"	"Congenital pneumonia due to staphylococcus"	"P23.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital pneumonia due to streptococcus, group B"	"P23.3"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital pneumonia due to other bacterial agents"	"P23.6"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital pneumonia due to other organisms"	"P23.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital pneumonia, unspecified"	"P23.9"	49	40445070	0.00
	"1 - 23 hours"	"02"	"Neonatal aspiration of meconium"	"P24.0"	114	40445070	0.00
	"1 - 23 hours"	"02"	"Neonatal aspiration of amniotic fluid and mucus"	"P24.1"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Neonatal aspiration of milk and regurgitated food"	"P24.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Neonatal aspiration syndrome, unspecified"	"P24.9"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Interstitial emphysema originating in the perinatal period"	"P25.0"	23	40445070	0.00
	"1 - 23 hours"	"02"	"Pneumothorax originating in the perinatal period"	"P25.1"	261	40445070	0.01
	"1 - 23 hours"	"02"	"Pneumomediastinum originating in the perinatal period"	"P25.2"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Pneumopericardium originating in the perinatal period"	"P25.3"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other conditions related to interstitial emphysema originating in the perinatal period"	"P25.8"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Massive pulmonary haemorrhage originating in the perinatal period"	"P26.1"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	121	40445070	0.00
	"1 - 23 hours"	"02"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other chronic respiratory diseases originating in the perinatal period"	"P27.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Primary atelectasis of newborn"	"P28.0"	1267	40445070	0.03
	"1 - 23 hours"	"02"	"Other and unspecified atelectasis of newborn"	"P28.1"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Cyanotic attacks of newborn"	"P28.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Primary sleep apnoea of newborn"	"P28.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other apnoea of newborn"	"P28.4"	43	40445070	0.00
	"1 - 23 hours"	"02"	"Respiratory failure of newborn"	"P28.5"	99	40445070	0.00
	"1 - 23 hours"	"02"	"Other specified respiratory conditions of newborn"	"P28.8"	24	40445070	0.00
	"1 - 23 hours"	"02"	"Respiratory condition of newborn, unspecified"	"P28.9"	23	40445070	0.00
	"1 - 23 hours"	"02"	"Neonatal cardiac failure"	"P29.0"	1365	40445070	0.03
	"1 - 23 hours"	"02"	"Neonatal cardiac dysrhythmia"	"P29.1"	2002	40445070	0.05
	"1 - 23 hours"	"02"	"Neonatal hypertension"	"P29.2"	16	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Persistent fetal circulation"	"P29.3"	112	40445070	0.00
	"1 - 23 hours"	"02"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	49	40445070	0.00
	"1 - 23 hours"	"02"	"Congenital cytomegalovirus infection"	"P35.1"	26	40445070	0.00
	"1 - 23 hours"	"02"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other congenital viral diseases"	"P35.8"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Congenital viral disease, unspecified"	"P35.9"	2	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	41	40445070	0.00
	"1 - 23 hours"	"02"	"Sepsis of newborn due to other and unspecified streptococci"	"P36.1"	7	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Sepsis of newborn due to Staphylococcus aureus"	"P36.2"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Sepsis of newborn due to other and unspecified staphylococci"	"P36.3"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	59	40445070	0.00
	"1 - 23 hours"	"02"	"Sepsis of newborn due to anaerobes"	"P36.5"	1	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other bacterial sepsis of newborn"	"P36.8"	11	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	666	40445070	0.02
	"1 - 23 hours"	"02"	"Neonatal (disseminated) listeriosis"	"P37.2"	3	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Other specified congenital infectious and parasitic diseases"	"P37.8"	5	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Omphalitis of newborn with or without mild haemorrhage"	"P38"	4	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Intra-amniotic infection of fetus, not elsewhere classified"	"P39.2"	18	40445070	0.00 (Unreliable)
	"1 - 23 hours"	"02"	"Neonatal urinary tract infection"	"P39.3"	8	40445070	0.00 (Unreliable)
