"Notes"	"Age of Mother"	"Age of Mother Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"25-29 years"	"25-29"	"Illinois"	"17"	"Cook County, IL"	"17031"	120	16411	7.31
	"25-29 years"	"25-29"	"Illinois"	"17"	"DuPage County, IL"	"17043"	11	2733	4.02 (Unreliable)
	"25-29 years"	"25-29"	"Illinois"	"17"	"Kane County, IL"	"17089"	15	1760	8.52 (Unreliable)
	"25-29 years"	"25-29"	"Illinois"	"17"	"Will County, IL"	"17197"	18	2130	8.45 (Unreliable)
	"25-29 years"	"25-29"	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	55	13685	4.02
	"25-29 years"	"25-29"	"Indiana"	"18"	"Allen County, IN"	"18003"	19	1721	11.04 (Unreliable)
	"25-29 years"	"25-29"	"Indiana"	"18"	"Lake County, IN"	"18089"	13	1710	7.60 (Unreliable)
	"25-29 years"	"25-29"	"Indiana"	"18"	"Marion County, IN"	"18097"	22	4290	5.13
	"25-29 years"	"25-29"	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	106	16662	6.36
	"25-29 years"	"25-29"	"Iowa"	"19"	"Polk County, IA"	"19153"	14	2167	6.46 (Unreliable)
	"25-29 years"	"25-29"	"Iowa"	"19"	"Unidentified Counties, IA"	"19999"	61	11156	5.47
	"25-29 years"	"25-29"	"Kansas"	"20"	"Johnson County, KS"	"20091"	10	2055	4.87 (Unreliable)
	"25-29 years"	"25-29"	"Kansas"	"20"	"Sedgwick County, KS"	"20173"	22	2270	9.69
	"25-29 years"	"25-29"	"Kansas"	"20"	"Unidentified Counties, KS"	"20999"	43	7491	5.74
	"25-29 years"	"25-29"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	29	3019	9.61
	"25-29 years"	"25-29"	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	73	12940	5.64
	"25-29 years"	"25-29"	"Louisiana"	"22"	"Caddo Parish, LA"	"22017"	13	1030	12.62 (Unreliable)
	"25-29 years"	"25-29"	"Louisiana"	"22"	"East Baton Rouge Parish, LA"	"22033"	20	1767	11.32
	"25-29 years"	"25-29"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	11	1811	6.07 (Unreliable)
	"25-29 years"	"25-29"	"Louisiana"	"22"	"Orleans Parish, LA"	"22071"	13	1377	9.44 (Unreliable)
	"25-29 years"	"25-29"	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	97	13753	7.05
	"25-29 years"	"25-29"	"Maine"	"23"	"Unidentified Counties, ME"	"23999"	12	3278	3.66 (Unreliable)
	"25-29 years"	"25-29"	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	21	1982	10.60
	"25-29 years"	"25-29"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	15	2827	5.31 (Unreliable)
	"25-29 years"	"25-29"	"Maryland"	"24"	"Montgomery County, MD"	"24031"	10	2760	3.62 (Unreliable)
	"25-29 years"	"25-29"	"Maryland"	"24"	"Prince George's County, MD"	"24033"	24	3427	7.00
	"25-29 years"	"25-29"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	23	2409	9.55
	"25-29 years"	"25-29"	"Maryland"	"24"	"Unidentified Counties, MD"	"24999"	40	5811	6.88
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	10	2137	4.68 (Unreliable)
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	18	3487	5.16 (Unreliable)
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	13	2245	5.79 (Unreliable)
	"25-29 years"	"25-29"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	10	2477	4.04 (Unreliable)
	"25-29 years"	"25-29"	"Michigan"	"26"	"Genesee County, MI"	"26049"	12	1528	7.85 (Unreliable)
	"25-29 years"	"25-29"	"Michigan"	"26"	"Kent County, MI"	"26081"	11	2802	3.93 (Unreliable)
	"25-29 years"	"25-29"	"Michigan"	"26"	"Macomb County, MI"	"26099"	19	3031	6.27 (Unreliable)
	"25-29 years"	"25-29"	"Michigan"	"26"	"Oakland County, MI"	"26125"	19	3679	5.16 (Unreliable)
	"25-29 years"	"25-29"	"Michigan"	"26"	"Wayne County, MI"	"26163"	70	7213	9.70
	"25-29 years"	"25-29"	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	74	13068	5.66
	"25-29 years"	"25-29"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	22	4208	5.23
	"25-29 years"	"25-29"	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	13	2282	5.70 (Unreliable)
	"25-29 years"	"25-29"	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	48	11975	4.01
	"25-29 years"	"25-29"	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	93	11726	7.93
	"25-29 years"	"25-29"	"Missouri"	"29"	"Greene County, MO"	"29077"	12	1164	10.31 (Unreliable)
	"25-29 years"	"25-29"	"Missouri"	"29"	"Jackson County, MO"	"29095"	16	2900	5.52 (Unreliable)
	"25-29 years"	"25-29"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	27	3164	8.53
	"25-29 years"	"25-29"	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	66	13409	4.92
	"25-29 years"	"25-29"	"Montana"	"30"	"Unidentified Counties, MT"	"30999"	15	3860	3.89 (Unreliable)
	"25-29 years"	"25-29"	"Nebraska"	"31"	"Douglas County, NE"	"31055"	21	2696	7.79
	"25-29 years"	"25-29"	"Nebraska"	"31"	"Unidentified Counties, NE"	"31999"	23	4718	4.87
	"25-29 years"	"25-29"	"Nevada"	"32"	"Clark County, NV"	"32003"	40	8040	4.98
	"25-29 years"	"25-29"	"Nevada"	"32"	"Washoe County, NV"	"32031"	11	1631	6.74 (Unreliable)
	"25-29 years"	"25-29"	"New Jersey"	"34"	"Camden County, NJ"	"34007"	16	1687	9.48 (Unreliable)
	"25-29 years"	"25-29"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	12	2602	4.61 (Unreliable)
	"25-29 years"	"25-29"	"New Jersey"	"34"	"Middlesex County, NJ"	"34023"	11	2501	4.40 (Unreliable)
	"25-29 years"	"25-29"	"New Jersey"	"34"	"Ocean County, NJ"	"34029"	10	2528	3.96 (Unreliable)
	"25-29 years"	"25-29"	"New Jersey"	"34"	"Unidentified Counties, NJ"	"34999"	12	1861	6.45 (Unreliable)
	"25-29 years"	"25-29"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	10	2216	4.51 (Unreliable)
	"25-29 years"	"25-29"	"New Mexico"	"35"	"Unidentified Counties, NM"	"35999"	32	5137	6.23
	"25-29 years"	"25-29"	"New York"	"36"	"Bronx County, NY"	"36005"	23	6264	3.67
	"25-29 years"	"25-29"	"New York"	"36"	"Erie County, NY"	"36029"	19	2917	6.51 (Unreliable)
	"25-29 years"	"25-29"	"New York"	"36"	"Kings County, NY"	"36047"	36	10904	3.30
	"25-29 years"	"25-29"	"New York"	"36"	"Monroe County, NY"	"36055"	18	2287	7.87 (Unreliable)
	"25-29 years"	"25-29"	"New York"	"36"	"Onondaga County, NY"	"36067"	10	1516	6.60 (Unreliable)
	"25-29 years"	"25-29"	"New York"	"36"	"Queens County, NY"	"36081"	28	8672	3.23
	"25-29 years"	"25-29"	"New York"	"36"	"Suffolk County, NY"	"36103"	14	3771	3.71 (Unreliable)
	"25-29 years"	"25-29"	"New York"	"36"	"Unidentified Counties, NY"	"36999"	68	12333	5.51
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	16	1734	9.23 (Unreliable)
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Forsyth County, NC"	"37067"	10	1385	7.22 (Unreliable)
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Guilford County, NC"	"37081"	18	1917	9.39 (Unreliable)
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	23	4060	5.67
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Wake County, NC"	"37183"	14	3388	4.13 (Unreliable)
	"25-29 years"	"25-29"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	136	22395	6.07
	"25-29 years"	"25-29"	"North Dakota"	"38"	"Unidentified Counties, ND"	"38999"	28	4063	6.89
	"25-29 years"	"25-29"	"Ohio"	"39"	"Butler County, OH"	"39017"	11	1388	7.93 (Unreliable)
	"25-29 years"	"25-29"	"Ohio"	"39"	"Cuyahoga County, OH"	"39035"	30	4240	7.08
	"25-29 years"	"25-29"	"Ohio"	"39"	"Franklin County, OH"	"39049"	57	5721	9.96
	"25-29 years"	"25-29"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	33	3216	10.26
	"25-29 years"	"25-29"	"Ohio"	"39"	"Stark County, OH"	"39151"	14	1400	10.00 (Unreliable)
	"25-29 years"	"25-29"	"Ohio"	"39"	"Summit County, OH"	"39153"	17	1813	9.38 (Unreliable)
	"25-29 years"	"25-29"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	130	20142	6.45
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"Oklahoma County, OK"	"40109"	31	3689	8.40
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"Tulsa County, OK"	"40143"	25	2933	8.52
	"25-29 years"	"25-29"	"Oklahoma"	"40"	"Unidentified Counties, OK"	"40999"	62	8723	7.11
	"25-29 years"	"25-29"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	11	2113	5.21 (Unreliable)
	"25-29 years"	"25-29"	"Oregon"	"41"	"Unidentified Counties, OR"	"41999"	30	5514	5.44
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	14	3781	3.70 (Unreliable)
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Delaware County, PA"	"42045"	13	1698	7.66 (Unreliable)
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Lehigh County, PA"	"42077"	10	1286	7.78 (Unreliable)
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Montgomery County, PA"	"42091"	14	2161	6.48 (Unreliable)
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	47	6191	7.59
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"York County, PA"	"42133"	10	1609	6.22 (Unreliable)
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"Unidentified Counties, PA"	"42999"	65	13425	4.84
	"25-29 years"	"25-29"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	12	2139	5.61 (Unreliable)
	"25-29 years"	"25-29"	"South Carolina"	"45"	"Charleston County, SC"	"45019"	10	1320	7.58 (Unreliable)
	"25-29 years"	"25-29"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	10	1876	5.33 (Unreliable)
	"25-29 years"	"25-29"	"South Carolina"	"45"	"Richland County, SC"	"45079"	13	1496	8.69 (Unreliable)
	"25-29 years"	"25-29"	"South Carolina"	"45"	"Unidentified Counties, SC"	"45999"	65	9778	6.65
	"25-29 years"	"25-29"	"South Dakota"	"46"	"Unidentified Counties, SD"	"46999"	24	4167	5.76
	"25-29 years"	"25-29"	"Tennessee"	"47"	"Davidson County, TN"	"47037"	19	2895	6.56 (Unreliable)
	"25-29 years"	"25-29"	"Tennessee"	"47"	"Rutherford County, TN"	"47149"	12	1306	9.19 (Unreliable)
	"25-29 years"	"25-29"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	37	3930	9.41
	"25-29 years"	"25-29"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	91	13559	6.71
	"25-29 years"	"25-29"	"Texas"	"48"	"Bell County, TX"	"48027"	11	1975	5.57 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Bexar County, TX"	"48029"	54	8182	6.60
	"25-29 years"	"25-29"	"Texas"	"48"	"Dallas County, TX"	"48113"	49	11426	4.29
	"25-29 years"	"25-29"	"Texas"	"48"	"Denton County, TX"	"48121"	20	2934	6.82
	"25-29 years"	"25-29"	"Texas"	"48"	"El Paso County, TX"	"48141"	17	3783	4.49 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Fort Bend County, TX"	"48157"	16	2560	6.25 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Harris County, TX"	"48201"	130	20286	6.41
	"25-29 years"	"25-29"	"Texas"	"48"	"Hidalgo County, TX"	"48215"	16	4150	3.86 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Jefferson County, TX"	"48245"	11	1104	9.96 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Tarrant County, TX"	"48439"	54	8606	6.27
	"25-29 years"	"25-29"	"Texas"	"48"	"Travis County, TX"	"48453"	16	3893	4.11 (Unreliable)
	"25-29 years"	"25-29"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	162	30375	5.33
	"25-29 years"	"25-29"	"Utah"	"49"	"Davis County, UT"	"49011"	12	2025	5.93 (Unreliable)
	"25-29 years"	"25-29"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	28	5639	4.97
	"25-29 years"	"25-29"	"Utah"	"49"	"Utah County, UT"	"49049"	28	4370	6.41
	"25-29 years"	"25-29"	"Utah"	"49"	"Unidentified Counties, UT"	"49999"	19	4983	3.81 (Unreliable)
	"25-29 years"	"25-29"	"Virginia"	"51"	"Fairfax County, VA"	"51059"	12	3151	3.81 (Unreliable)
	"25-29 years"	"25-29"	"Virginia"	"51"	"Virginia Beach city, VA"	"51810"	10	1796	5.57 (Unreliable)
	"25-29 years"	"25-29"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	129	18672	6.91
	"25-29 years"	"25-29"	"Washington"	"53"	"King County, WA"	"53033"	25	6014	4.16
	"25-29 years"	"25-29"	"Washington"	"53"	"Pierce County, WA"	"53053"	11	3743	2.94 (Unreliable)
	"25-29 years"	"25-29"	"Washington"	"53"	"Snohomish County, WA"	"53061"	16	3057	5.23 (Unreliable)
	"25-29 years"	"25-29"	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	38	7804	4.87
	"25-29 years"	"25-29"	"West Virginia"	"54"	"Unidentified Counties, WV"	"54999"	37	5910	6.26
	"25-29 years"	"25-29"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	29	3920	7.40
	"25-29 years"	"25-29"	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	81	14413	5.62
	"25-29 years"	"25-29"	"Wyoming"	"56"	"Unidentified Counties, WY"	"56999"	13	2362	5.50 (Unreliable)
	"30-34 years"	"30-34"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	25	2384	10.49
	"30-34 years"	"30-34"	"Alabama"	"01"	"Mobile County, AL"	"01097"	14	1172	11.95 (Unreliable)
	"30-34 years"	"30-34"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	81	8720	9.29
	"30-34 years"	"30-34"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	67	14386	4.66
	"30-34 years"	"30-34"	"Arizona"	"04"	"Pima County, AZ"	"04019"	10	2893	3.46 (Unreliable)
	"30-34 years"	"30-34"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	11	3050	3.61 (Unreliable)
	"30-34 years"	"30-34"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	53	6675	7.94
	"30-34 years"	"30-34"	"California"	"06"	"Alameda County, CA"	"06001"	19	7151	2.66 (Unreliable)
	"30-34 years"	"30-34"	"California"	"06"	"Contra Costa County, CA"	"06013"	12	4205	2.85 (Unreliable)
	"30-34 years"	"30-34"	"California"	"06"	"Fresno County, CA"	"06019"	12	3743	3.21 (Unreliable)
	"30-34 years"	"30-34"	"California"	"06"	"Kern County, CA"	"06029"	12	3192	3.76 (Unreliable)
	"30-34 years"	"30-34"	"California"	"06"	"Los Angeles County, CA"	"06037"	132	36526	3.61
	"30-34 years"	"30-34"	"California"	"06"	"Orange County, CA"	"06059"	37	12882	2.87
	"30-34 years"	"30-34"	"California"	"06"	"Riverside County, CA"	"06065"	38	8284	4.59
	"30-34 years"	"30-34"	"California"	"06"	"Sacramento County, CA"	"06067"	28	5875	4.77
	"30-34 years"	"30-34"	"California"	"06"	"San Bernardino County, CA"	"06071"	46	7837	5.87
	"30-34 years"	"30-34"	"California"	"06"	"San Diego County, CA"	"06073"	49	13306	3.68
	"30-34 years"	"30-34"	"California"	"06"	"Santa Clara County, CA"	"06085"	29	8900	3.26
	"30-34 years"	"30-34"	"California"	"06"	"Tulare County, CA"	"06107"	11	1663	6.61 (Unreliable)
	"30-34 years"	"30-34"	"California"	"06"	"Unidentified Counties, CA"	"06999"	26	7726	3.37
	"30-34 years"	"30-34"	"Colorado"	"08"	"El Paso County, CO"	"08041"	13	2488	5.23 (Unreliable)
	"30-34 years"	"30-34"	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	16	3288	4.87 (Unreliable)
	"30-34 years"	"30-34"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	11	3742	2.94 (Unreliable)
	"30-34 years"	"30-34"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	19	3186	5.96 (Unreliable)
	"30-34 years"	"30-34"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	11	2897	3.80 (Unreliable)
	"30-34 years"	"30-34"	"Delaware"	"10"	"New Castle County, DE"	"10003"	12	2067	5.81 (Unreliable)
	"30-34 years"	"30-34"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	15	3087	4.86 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Broward County, FL"	"12011"	35	6987	5.01
	"30-34 years"	"30-34"	"Florida"	"12"	"Duval County, FL"	"12031"	20	3527	5.67
	"30-34 years"	"30-34"	"Florida"	"12"	"Escambia County, FL"	"12033"	11	913	12.05 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	23	4908	4.69
	"30-34 years"	"30-34"	"Florida"	"12"	"Lee County, FL"	"12071"	15	1769	8.48 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	42	9983	4.21
	"30-34 years"	"30-34"	"Florida"	"12"	"Orange County, FL"	"12095"	36	4774	7.54
	"30-34 years"	"30-34"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	10	4506	2.22 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Pasco County, FL"	"12101"	12	1429	8.40 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Pinellas County, FL"	"12103"	12	2443	4.91 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Polk County, FL"	"12105"	12	1758	6.83 (Unreliable)
	"30-34 years"	"30-34"	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	32	8261	3.87
	"30-34 years"	"30-34"	"Georgia"	"13"	"Clayton County, GA"	"13063"	12	836	14.35 (Unreliable)
	"30-34 years"	"30-34"	"Georgia"	"13"	"Cobb County, GA"	"13067"	25	3130	7.99
	"30-34 years"	"30-34"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	16	3329	4.81 (Unreliable)
	"30-34 years"	"30-34"	"Georgia"	"13"	"Fulton County, GA"	"13121"	15	4120	3.64 (Unreliable)
	"30-34 years"	"30-34"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	33	3415	9.66
	"30-34 years"	"30-34"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	117	17563	6.66
	"30-34 years"	"30-34"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	28	3667	7.64
	"30-34 years"	"30-34"	"Hawaii"	"15"	"Unidentified Counties, HI"	"15999"	15	1370	10.95 (Unreliable)
	"30-34 years"	"30-34"	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	20	4038	4.95
	"30-34 years"	"30-34"	"Illinois"	"17"	"Cook County, IL"	"17031"	130	21213	6.13
	"30-34 years"	"30-34"	"Illinois"	"17"	"DuPage County, IL"	"17043"	17	4302	3.95 (Unreliable)
	"30-34 years"	"30-34"	"Illinois"	"17"	"Will County, IL"	"17197"	14	2632	5.32 (Unreliable)
	"30-34 years"	"30-34"	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	62	10901	5.69
	"30-34 years"	"30-34"	"Indiana"	"18"	"Lake County, IN"	"18089"	13	1400	9.29 (Unreliable)
	"30-34 years"	"30-34"	"Indiana"	"18"	"Marion County, IN"	"18097"	28	3661	7.65
	"30-34 years"	"30-34"	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	79	11935	6.62
	"30-34 years"	"30-34"	"Iowa"	"19"	"Polk County, IA"	"19153"	17	2145	7.93 (Unreliable)
	"30-34 years"	"30-34"	"Iowa"	"19"	"Unidentified Counties, IA"	"19999"	42	8947	4.69
	"30-34 years"	"30-34"	"Kansas"	"20"	"Unidentified Counties, KS"	"20999"	29	5626	5.15
	"30-34 years"	"30-34"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	14	2718	5.15 (Unreliable)
	"30-34 years"	"30-34"	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	41	8781	4.67
	"30-34 years"	"30-34"	"Louisiana"	"22"	"East Baton Rouge Parish, LA"	"22033"	11	1680	6.55 (Unreliable)
	"30-34 years"	"30-34"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	10	1648	6.07 (Unreliable)
	"30-34 years"	"30-34"	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	68	9378	7.25
	"30-34 years"	"30-34"	"Maine"	"23"	"Unidentified Counties, ME"	"23999"	12	2607	4.60 (Unreliable)
	"30-34 years"	"30-34"	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	10	2392	4.18 (Unreliable)
	"30-34 years"	"30-34"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	13	3238	4.01 (Unreliable)
	"30-34 years"	"30-34"	"Maryland"	"24"	"Montgomery County, MD"	"24031"	22	4692	4.69
	"30-34 years"	"30-34"	"Maryland"	"24"	"Prince George's County, MD"	"24033"	36	3372	10.68
	"30-34 years"	"30-34"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	21	2190	9.59
	"30-34 years"	"30-34"	"Maryland"	"24"	"Unidentified Counties, MD"	"24999"	20	5620	3.56
	"30-34 years"	"30-34"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	17	7075	2.40 (Unreliable)
	"30-34 years"	"30-34"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	11	3041	3.62 (Unreliable)
	"30-34 years"	"30-34"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	12	3371	3.56 (Unreliable)
	"30-34 years"	"30-34"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	16	2955	5.41 (Unreliable)
	"30-34 years"	"30-34"	"Michigan"	"26"	"Kent County, MI"	"26081"	13	2685	4.84 (Unreliable)
	"30-34 years"	"30-34"	"Michigan"	"26"	"Macomb County, MI"	"26099"	15	2891	5.19 (Unreliable)
	"30-34 years"	"30-34"	"Michigan"	"26"	"Oakland County, MI"	"26125"	21	5066	4.15
	"30-34 years"	"30-34"	"Michigan"	"26"	"Wayne County, MI"	"26163"	33	5521	5.98
	"30-34 years"	"30-34"	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	44	9920	4.44
	"30-34 years"	"30-34"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	26	6191	4.20
	"30-34 years"	"30-34"	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	13	2468	5.27 (Unreliable)
	"30-34 years"	"30-34"	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	53	11510	4.60
	"30-34 years"	"30-34"	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	50	7663	6.52
	"30-34 years"	"30-34"	"Missouri"	"29"	"Jackson County, MO"	"29095"	15	2429	6.18 (Unreliable)
	"30-34 years"	"30-34"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	18	3953	4.55 (Unreliable)
	"30-34 years"	"30-34"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	10	1144	8.74 (Unreliable)
	"30-34 years"	"30-34"	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	37	9487	3.90
	"30-34 years"	"30-34"	"Montana"	"30"	"Unidentified Counties, MT"	"30999"	26	3250	8.00
	"30-34 years"	"30-34"	"Nebraska"	"31"	"Douglas County, NE"	"31055"	16	2792	5.73 (Unreliable)
	"30-34 years"	"30-34"	"Nebraska"	"31"	"Unidentified Counties, NE"	"31999"	18	3768	4.78 (Unreliable)
	"30-34 years"	"30-34"	"Nevada"	"32"	"Clark County, NV"	"32003"	38	7106	5.35
	"30-34 years"	"30-34"	"New Jersey"	"34"	"Camden County, NJ"	"34007"	15	1949	7.70 (Unreliable)
	"30-34 years"	"30-34"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	12	3072	3.91 (Unreliable)
	"30-34 years"	"30-34"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	12	2050	5.85 (Unreliable)
	"30-34 years"	"30-34"	"New Mexico"	"35"	"Unidentified Counties, NM"	"35999"	23	3582	6.42
	"30-34 years"	"30-34"	"New York"	"36"	"Bronx County, NY"	"36005"	27	5320	5.08
	"30-34 years"	"30-34"	"New York"	"36"	"Erie County, NY"	"36029"	18	3234	5.57 (Unreliable)
	"30-34 years"	"30-34"	"New York"	"36"	"Kings County, NY"	"36047"	48	11589	4.14
	"30-34 years"	"30-34"	"New York"	"36"	"Monroe County, NY"	"36055"	14	2621	5.34 (Unreliable)
	"30-34 years"	"30-34"	"New York"	"36"	"Nassau County, NY"	"36059"	13	5266	2.47 (Unreliable)
	"30-34 years"	"30-34"	"New York"	"36"	"New York County, NY"	"36061"	20	6523	3.07
	"30-34 years"	"30-34"	"New York"	"36"	"Queens County, NY"	"36081"	31	9671	3.21
	"30-34 years"	"30-34"	"New York"	"36"	"Suffolk County, NY"	"36103"	22	5324	4.13
	"30-34 years"	"30-34"	"New York"	"36"	"Unidentified Counties, NY"	"36999"	71	10882	6.52
	"30-34 years"	"30-34"	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	11	1122	9.80 (Unreliable)
	"30-34 years"	"30-34"	"North Carolina"	"37"	"Durham County, NC"	"37063"	11	1441	7.63 (Unreliable)
	"30-34 years"	"30-34"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	28	4815	5.82
	"30-34 years"	"30-34"	"North Carolina"	"37"	"Wake County, NC"	"37183"	22	4686	4.69
	"30-34 years"	"30-34"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	100	17013	5.88
	"30-34 years"	"30-34"	"North Dakota"	"38"	"Unidentified Counties, ND"	"38999"	14	3163	4.43 (Unreliable)
	"30-34 years"	"30-34"	"Ohio"	"39"	"Cuyahoga County, OH"	"39035"	30	4134	7.26
	"30-34 years"	"30-34"	"Ohio"	"39"	"Franklin County, OH"	"39049"	37	5782	6.40
	"30-34 years"	"30-34"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	28	3262	8.58
	"30-34 years"	"30-34"	"Ohio"	"39"	"Montgomery County, OH"	"39113"	12	1656	7.25 (Unreliable)
	"30-34 years"	"30-34"	"Ohio"	"39"	"Summit County, OH"	"39153"	10	1780	5.62 (Unreliable)
	"30-34 years"	"30-34"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	74	15985	4.63
	"30-34 years"	"30-34"	"Oklahoma"	"40"	"Oklahoma County, OK"	"40109"	13	3204	4.06 (Unreliable)
	"30-34 years"	"30-34"	"Oklahoma"	"40"	"Tulsa County, OK"	"40143"	19	2456	7.74 (Unreliable)
