"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Births	Death Rate
	"Anne Arundel County, MD"	"24003"	"Asian or Pacific Islander"	"A-PI"	23	3737	6.15
	"Anne Arundel County, MD"	"24003"	"Black or African American"	"2054-5"	127	12946	9.81
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	243	52362	4.64
	"Baltimore County, MD"	"24005"	"Asian or Pacific Islander"	"A-PI"	40	8215	4.87
	"Baltimore County, MD"	"24005"	"Black or African American"	"2054-5"	373	33101	11.27
	"Baltimore County, MD"	"24005"	"White"	"2106-3"	241	58040	4.15
	"Howard County, MD"	"24027"	"Asian or Pacific Islander"	"A-PI"	14	2464	5.68 (Unreliable)
	"Howard County, MD"	"24027"	"Black or African American"	"2054-5"	20	2412	8.29
	"Howard County, MD"	"24027"	"White"	"2106-3"	25	5791	4.32
	"Montgomery County, MD"	"24031"	"Asian or Pacific Islander"	"A-PI"	93	20948	4.44
	"Montgomery County, MD"	"24031"	"Black or African American"	"2054-5"	299	32028	9.34
	"Montgomery County, MD"	"24031"	"White"	"2106-3"	294	80034	3.67
	"Prince George's County, MD"	"24033"	"Asian or Pacific Islander"	"A-PI"	31	6396	4.85
	"Prince George's County, MD"	"24033"	"Black or African American"	"2054-5"	854	78622	10.86
	"Prince George's County, MD"	"24033"	"White"	"2106-3"	223	37155	6.00
	"Baltimore city, MD"	"24510"	"Asian or Pacific Islander"	"A-PI"	10	2817	3.55 (Unreliable)
	"Baltimore city, MD"	"24510"	"Black or African American"	"2054-5"	811	58898	13.77
	"Baltimore city, MD"	"24510"	"White"	"2106-3"	151	29060	5.20
	"Unidentified Counties, MD"	"24999"	"Asian or Pacific Islander"	"A-PI"	50	11142	4.49
	"Unidentified Counties, MD"	"24999"	"Black or African American"	"2054-5"	467	39493	11.82
	"Unidentified Counties, MD"	"24999"	"White"	"2106-3"	763	164968	4.63
	"Bristol County, MA"	"25005"	"Black or African American"	"2054-5"	51	5160	9.88
	"Bristol County, MA"	"25005"	"White"	"2106-3"	231	51307	4.50
	"Essex County, MA"	"25009"	"Asian or Pacific Islander"	"A-PI"	21	4611	4.55
	"Essex County, MA"	"25009"	"Black or African American"	"2054-5"	75	11994	6.25
	"Essex County, MA"	"25009"	"White"	"2106-3"	274	69016	3.97
	"Hampden County, MA"	"25013"	"Black or African American"	"2054-5"	60	6798	8.83
	"Hampden County, MA"	"25013"	"White"	"2106-3"	249	45584	5.46
	"Middlesex County, MA"	"25017"	"Asian or Pacific Islander"	"A-PI"	90	27949	3.22
	"Middlesex County, MA"	"25017"	"Black or African American"	"2054-5"	102	14250	7.16
	"Middlesex County, MA"	"25017"	"White"	"2106-3"	428	134833	3.17
	"Norfolk County, MA"	"25021"	"Asian or Pacific Islander"	"A-PI"	32	11036	2.90
	"Norfolk County, MA"	"25021"	"Black or African American"	"2054-5"	52	6752	7.70
	"Norfolk County, MA"	"25021"	"White"	"2106-3"	168	55193	3.04
	"Plymouth County, MA"	"25023"	"Black or African American"	"2054-5"	65	9874	6.58
	"Plymouth County, MA"	"25023"	"White"	"2106-3"	155	41735	3.71
	"Suffolk County, MA"	"25025"	"Asian or Pacific Islander"	"A-PI"	26	7676	3.39
	"Suffolk County, MA"	"25025"	"Black or African American"	"2054-5"	220	29260	7.52
	"Suffolk County, MA"	"25025"	"White"	"2106-3"	250	58010	4.31
	"Worcester County, MA"	"25027"	"Asian or Pacific Islander"	"A-PI"	23	5738	4.01
	"Worcester County, MA"	"25027"	"Black or African American"	"2054-5"	73	7392	9.88
	"Worcester County, MA"	"25027"	"White"	"2106-3"	398	75908	5.24
	"Unidentified Counties, MA"	"25999"	"Black or African American"	"2054-5"	28	2535	11.05
	"Unidentified Counties, MA"	"25999"	"White"	"2106-3"	188	44047	4.27
	"Genesee County, MI"	"26049"	"Black or African American"	"2054-5"	217	15278	14.20
	"Genesee County, MI"	"26049"	"White"	"2106-3"	217	35943	6.04
	"Ingham County, MI"	"26065"	"Asian or Pacific Islander"	"A-PI"	10	2139	4.68 (Unreliable)
	"Ingham County, MI"	"26065"	"Black or African American"	"2054-5"	73	6591	11.08
	"Ingham County, MI"	"26065"	"White"	"2106-3"	150	25133	5.97
	"Kalamazoo County, MI"	"26077"	"Black or African American"	"2054-5"	14	1819	7.70 (Unreliable)
	"Kalamazoo County, MI"	"26077"	"White"	"2106-3"	26	7401	3.51
	"Kent County, MI"	"26081"	"Asian or Pacific Islander"	"A-PI"	17	2733	6.22 (Unreliable)
	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	155	12699	12.21
	"Kent County, MI"	"26081"	"White"	"2106-3"	378	73505	5.14
	"Macomb County, MI"	"26099"	"Asian or Pacific Islander"	"A-PI"	22	4699	4.68
	"Macomb County, MI"	"26099"	"Black or African American"	"2054-5"	152	14504	10.48
	"Macomb County, MI"	"26099"	"White"	"2106-3"	400	74030	5.40
	"Oakland County, MI"	"26125"	"Asian or Pacific Islander"	"A-PI"	43	12285	3.50
	"Oakland County, MI"	"26125"	"Black or African American"	"2054-5"	276	22249	12.41
	"Oakland County, MI"	"26125"	"White"	"2106-3"	499	100565	4.96
	"Ottawa County, MI"	"26139"	"White"	"2106-3"	41	9544	4.30
	"Washtenaw County, MI"	"26161"	"Black or African American"	"2054-5"	82	6758	12.13
	"Washtenaw County, MI"	"26161"	"White"	"2106-3"	115	26597	4.32
	"Wayne County, MI"	"26163"	"Asian or Pacific Islander"	"A-PI"	41	8610	4.76
	"Wayne County, MI"	"26163"	"Black or African American"	"2054-5"	1568	113149	13.86
	"Wayne County, MI"	"26163"	"White"	"2106-3"	720	119126	6.04
	"Unidentified Counties, MI"	"26999"	"American Indian or Alaska Native"	"1002-5"	45	5598	8.04
	"Unidentified Counties, MI"	"26999"	"Asian or Pacific Islander"	"A-PI"	42	6351	6.61
	"Unidentified Counties, MI"	"26999"	"Black or African American"	"2054-5"	449	31478	14.26
	"Unidentified Counties, MI"	"26999"	"White"	"2106-3"	2343	413328	5.67
	"Anoka County, MN"	"27003"	"Asian or Pacific Islander"	"A-PI"	14	3047	4.59 (Unreliable)
	"Anoka County, MN"	"27003"	"Black or African American"	"2054-5"	37	3921	9.44
	"Anoka County, MN"	"27003"	"White"	"2106-3"	134	35027	3.83
	"Dakota County, MN"	"27037"	"Asian or Pacific Islander"	"A-PI"	18	4090	4.40 (Unreliable)
	"Dakota County, MN"	"27037"	"Black or African American"	"2054-5"	40	5449	7.34
	"Dakota County, MN"	"27037"	"White"	"2106-3"	149	43308	3.44
	"Hennepin County, MN"	"27053"	"American Indian or Alaska Native"	"1002-5"	20	2981	6.71
	"Hennepin County, MN"	"27053"	"Asian or Pacific Islander"	"A-PI"	82	17910	4.58
	"Hennepin County, MN"	"27053"	"Black or African American"	"2054-5"	346	36406	9.50
	"Hennepin County, MN"	"27053"	"White"	"2106-3"	426	107482	3.96
	"Ramsey County, MN"	"27123"	"Asian or Pacific Islander"	"A-PI"	114	17543	6.50
	"Ramsey County, MN"	"27123"	"Black or African American"	"2054-5"	150	15037	9.98
	"Ramsey County, MN"	"27123"	"White"	"2106-3"	214	43345	4.94
	"Unidentified Counties, MN"	"27999"	"American Indian or Alaska Native"	"1002-5"	124	10712	11.58
	"Unidentified Counties, MN"	"27999"	"Asian or Pacific Islander"	"A-PI"	58	11745	4.94
	"Unidentified Counties, MN"	"27999"	"Black or African American"	"2054-5"	126	13947	9.03
	"Unidentified Counties, MN"	"27999"	"White"	"2106-3"	1501	327524	4.58
	"Hinds County, MS"	"28049"	"Black or African American"	"2054-5"	244	19449	12.55
	"Hinds County, MS"	"28049"	"White"	"2106-3"	29	5526	5.25
	"Unidentified Counties, MS"	"28999"	"American Indian or Alaska Native"	"1002-5"	35	2730	12.82
	"Unidentified Counties, MS"	"28999"	"Asian or Pacific Islander"	"A-PI"	30	4762	6.30
	"Unidentified Counties, MS"	"28999"	"Black or African American"	"2054-5"	2010	159385	12.61
	"Unidentified Counties, MS"	"28999"	"White"	"2106-3"	1472	214493	6.86
	"Greene County, MO"	"29077"	"Black or African American"	"2054-5"	13	482	26.97 (Unreliable)
	"Greene County, MO"	"29077"	"White"	"2106-3"	53	9926	5.34
	"Jackson County, MO"	"29095"	"Asian or Pacific Islander"	"A-PI"	12	2555	4.70 (Unreliable)
	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	309	29253	10.56
	"Jackson County, MO"	"29095"	"White"	"2106-3"	349	66039	5.28
	"St. Charles County, MO"	"29183"	"Black or African American"	"2054-5"	22	2266	9.71
	"St. Charles County, MO"	"29183"	"White"	"2106-3"	199	41530	4.79
	"St. Louis County, MO"	"29189"	"Asian or Pacific Islander"	"A-PI"	26	6450	4.03
	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	501	38014	13.18
	"St. Louis County, MO"	"29189"	"White"	"2106-3"	292	72591	4.02
	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	381	28002	13.61
	"St. Louis city, MO"	"29510"	"White"	"2106-3"	93	19136	4.86
	"Unidentified Counties, MO"	"29999"	"American Indian or Alaska Native"	"1002-5"	17	2762	6.15 (Unreliable)
	"Unidentified Counties, MO"	"29999"	"Asian or Pacific Islander"	"A-PI"	32	8146	3.93
	"Unidentified Counties, MO"	"29999"	"Black or African American"	"2054-5"	265	21643	12.24
	"Unidentified Counties, MO"	"29999"	"White"	"2106-3"	2573	416712	6.17
	"Unidentified Counties, MT"	"30999"	"American Indian or Alaska Native"	"1002-5"	149	15329	9.72
	"Unidentified Counties, MT"	"30999"	"Black or African American"	"2054-5"	11	941	11.69 (Unreliable)
	"Unidentified Counties, MT"	"30999"	"White"	"2106-3"	577	105429	5.47
	"Douglas County, NE"	"31055"	"Asian or Pacific Islander"	"A-PI"	14	4320	3.24 (Unreliable)
	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	167	13639	12.24
	"Douglas County, NE"	"31055"	"White"	"2106-3"	310	66158	4.69
	"Lancaster County, NE"	"31109"	"Black or African American"	"2054-5"	20	2458	8.14
	"Lancaster County, NE"	"31109"	"White"	"2106-3"	188	35967	5.23
	"Unidentified Counties, NE"	"31999"	"American Indian or Alaska Native"	"1002-5"	40	3817	10.48
	"Unidentified Counties, NE"	"31999"	"Asian or Pacific Islander"	"A-PI"	16	2313	6.92 (Unreliable)
	"Unidentified Counties, NE"	"31999"	"Black or African American"	"2054-5"	32	3855	8.30
	"Unidentified Counties, NE"	"31999"	"White"	"2106-3"	651	128258	5.08
	"Clark County, NV"	"32003"	"Asian or Pacific Islander"	"A-PI"	126	26919	4.68
	"Clark County, NV"	"32003"	"Black or African American"	"2054-5"	373	39499	9.44
	"Clark County, NV"	"32003"	"White"	"2106-3"	987	206950	4.77
	"Washoe County, NV"	"32031"	"American Indian or Alaska Native"	"1002-5"	11	1228	8.96 (Unreliable)
	"Washoe County, NV"	"32031"	"Asian or Pacific Islander"	"A-PI"	21	4162	5.05
	"Washoe County, NV"	"32031"	"Black or African American"	"2054-5"	25	1801	13.88
	"Washoe County, NV"	"32031"	"White"	"2106-3"	278	47892	5.80
	"Unidentified Counties, NV"	"32999"	"American Indian or Alaska Native"	"1002-5"	16	1720	9.30 (Unreliable)
	"Unidentified Counties, NV"	"32999"	"White"	"2106-3"	190	34271	5.54
	"Hillsborough County, NH"	"33011"	"Black or African American"	"2054-5"	20	1900	10.53
	"Hillsborough County, NH"	"33011"	"White"	"2106-3"	160	39854	4.01
	"Rockingham County, NH"	"33015"	"White"	"2106-3"	101	25444	3.97
	"Unidentified Counties, NH"	"33999"	"White"	"2106-3"	268	54964	4.88
	"Atlantic County, NJ"	"34001"	"Asian or Pacific Islander"	"A-PI"	15	2820	5.32 (Unreliable)
	"Atlantic County, NJ"	"34001"	"Black or African American"	"2054-5"	118	7219	16.35
	"Atlantic County, NJ"	"34001"	"White"	"2106-3"	143	22976	6.22
	"Bergen County, NJ"	"34003"	"Asian or Pacific Islander"	"A-PI"	68	18836	3.61
	"Bergen County, NJ"	"34003"	"Black or African American"	"2054-5"	55	8624	6.38
	"Bergen County, NJ"	"34003"	"White"	"2106-3"	172	67056	2.57
	"Burlington County, NJ"	"34005"	"Asian or Pacific Islander"	"A-PI"	15	3270	4.59 (Unreliable)
	"Burlington County, NJ"	"34005"	"Black or African American"	"2054-5"	93	9149	10.17
	"Burlington County, NJ"	"34005"	"White"	"2106-3"	144	34617	4.16
	"Camden County, NJ"	"34007"	"Asian or Pacific Islander"	"A-PI"	16	3880	4.12 (Unreliable)
	"Camden County, NJ"	"34007"	"Black or African American"	"2054-5"	253	16932	14.94
	"Camden County, NJ"	"34007"	"White"	"2106-3"	267	45316	5.89
	"Essex County, NJ"	"34013"	"Asian or Pacific Islander"	"A-PI"	14	5561	2.52 (Unreliable)
	"Essex County, NJ"	"34013"	"Black or African American"	"2054-5"	506	50396	10.04
	"Essex County, NJ"	"34013"	"White"	"2106-3"	203	51633	3.93
	"Gloucester County, NJ"	"34015"	"Black or African American"	"2054-5"	58	3998	14.51
	"Gloucester County, NJ"	"34015"	"White"	"2106-3"	88	26139	3.37
	"Hudson County, NJ"	"34017"	"Asian or Pacific Islander"	"A-PI"	45	19830	2.27
	"Hudson County, NJ"	"34017"	"Black or African American"	"2054-5"	139	18556	7.49
	"Hudson County, NJ"	"34017"	"White"	"2106-3"	190	62760	3.03
	"Mercer County, NJ"	"34021"	"Asian or Pacific Islander"	"A-PI"	17	5166	3.29 (Unreliable)
	"Mercer County, NJ"	"34021"	"Black or African American"	"2054-5"	195	12363	15.77
	"Mercer County, NJ"	"34021"	"White"	"2106-3"	117	26310	4.45
	"Middlesex County, NJ"	"34023"	"Asian or Pacific Islander"	"A-PI"	81	29992	2.70
	"Middlesex County, NJ"	"34023"	"Black or African American"	"2054-5"	90	13514	6.66
	"Middlesex County, NJ"	"34023"	"White"	"2106-3"	192	55367	3.47
	"Monmouth County, NJ"	"34025"	"Black or African American"	"2054-5"	56	6189	9.05
	"Monmouth County, NJ"	"34025"	"White"	"2106-3"	154	53645	2.87
	"Morris County, NJ"	"34027"	"Asian or Pacific Islander"	"A-PI"	19	7154	2.66 (Unreliable)
	"Morris County, NJ"	"34027"	"Black or African American"	"2054-5"	17	1781	9.55 (Unreliable)
	"Morris County, NJ"	"34027"	"White"	"2106-3"	121	39538	3.06
	"Ocean County, NJ"	"34029"	"Black or African American"	"2054-5"	24	2597	9.24
	"Ocean County, NJ"	"34029"	"White"	"2106-3"	219	77881	2.81
	"Passaic County, NJ"	"34031"	"Asian or Pacific Islander"	"A-PI"	23	4609	4.99
	"Passaic County, NJ"	"34031"	"Black or African American"	"2054-5"	94	14912	6.30
	"Passaic County, NJ"	"34031"	"White"	"2106-3"	169	51988	3.25
	"Somerset County, NJ"	"34035"	"Asian or Pacific Islander"	"A-PI"	16	7184	2.23 (Unreliable)
	"Somerset County, NJ"	"34035"	"Black or African American"	"2054-5"	30	4063	7.38
	"Somerset County, NJ"	"34035"	"White"	"2106-3"	74	23742	3.12
	"Union County, NJ"	"34039"	"Asian or Pacific Islander"	"A-PI"	14	4264	3.28 (Unreliable)
	"Union County, NJ"	"34039"	"Black or African American"	"2054-5"	133	17136	7.76
	"Union County, NJ"	"34039"	"White"	"2106-3"	195	48682	4.01
	"Unidentified Counties, NJ"	"34999"	"Black or African American"	"2054-5"	102	8468	12.05
	"Unidentified Counties, NJ"	"34999"	"White"	"2106-3"	316	61719	5.12
	"Bernalillo County, NM"	"35001"	"American Indian or Alaska Native"	"1002-5"	36	6551	5.50
	"Bernalillo County, NM"	"35001"	"Black or African American"	"2054-5"	29	2952	9.82
	"Bernalillo County, NM"	"35001"	"White"	"2106-3"	428	73261	5.84
	"Unidentified Counties, NM"	"35999"	"American Indian or Alaska Native"	"1002-5"	179	30325	5.90
	"Unidentified Counties, NM"	"35999"	"Asian or Pacific Islander"	"A-PI"	22	2635	8.35
	"Unidentified Counties, NM"	"35999"	"Black or African American"	"2054-5"	39	3523	11.07
	"Unidentified Counties, NM"	"35999"	"White"	"2106-3"	822	152885	5.38
	"Albany County, NY"	"36001"	"Asian or Pacific Islander"	"A-PI"	13	2845	4.57 (Unreliable)
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	103	6652	15.48
	"Albany County, NY"	"36001"	"White"	"2106-3"	112	21329	5.25
	"Bronx County, NY"	"36005"	"Asian or Pacific Islander"	"A-PI"	42	10399	4.04
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	688	99613	6.91
	"Bronx County, NY"	"36005"	"White"	"2106-3"	522	110229	4.74
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	45	3682	12.22
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	84	22714	3.70
	"Erie County, NY"	"36029"	"American Indian or Alaska Native"	"1002-5"	16	852	18.78 (Unreliable)
	"Erie County, NY"	"36029"	"Asian or Pacific Islander"	"A-PI"	23	4737	4.86
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	298	20621	14.45
	"Erie County, NY"	"36029"	"White"	"2106-3"	435	72940	5.96
	"Kings County, NY"	"36047"	"Asian or Pacific Islander"	"A-PI"	161	60543	2.66
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	982	129835	7.56
	"Kings County, NY"	"36047"	"White"	"2106-3"	698	226769	3.08
	"Monroe County, NY"	"36055"	"Asian or Pacific Islander"	"A-PI"	21	4183	5.02
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	264	20167	13.09
	"Monroe County, NY"	"36055"	"White"	"2106-3"	314	59700	5.26
	"Nassau County, NY"	"36059"	"Asian or Pacific Islander"	"A-PI"	51	14599	3.49
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	193	19817	9.74
	"Nassau County, NY"	"36059"	"White"	"2106-3"	350	109621	3.19
	"New York County, NY"	"36061"	"Asian or Pacific Islander"	"A-PI"	62	30464	2.04
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	303	36123	8.39
	"New York County, NY"	"36061"	"White"	"2106-3"	342	126711	2.70
	"Onondaga County, NY"	"36067"	"Asian or Pacific Islander"	"A-PI"	19	2772	6.85 (Unreliable)
	"Onondaga County, NY"	"36067"	"Black or African American"	"2054-5"	128	10421	12.28
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	192	39836	4.82
	"Orange County, NY"	"36071"	"Black or African American"	"2054-5"	72	5794	12.43
	"Orange County, NY"	"36071"	"White"	"2106-3"	215	43626	4.93
	"Queens County, NY"	"36081"	"Asian or Pacific Islander"	"A-PI"	284	87570	3.24
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	464	60369	7.69
	"Queens County, NY"	"36081"	"White"	"2106-3"	563	157654	3.57
	"Richmond County, NY"	"36085"	"Asian or Pacific Islander"	"A-PI"	17	4596	3.70 (Unreliable)
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	90	9113	9.88
	"Richmond County, NY"	"36085"	"White"	"2106-3"	132	41866	3.15
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	59	5325	11.08
	"Rockland County, NY"	"36087"	"White"	"2106-3"	149	42965	3.47
	"Suffolk County, NY"	"36103"	"Asian or Pacific Islander"	"A-PI"	34	7852	4.33
	"Suffolk County, NY"	"36103"	"Black or African American"	"2054-5"	136	16448	8.27
	"Suffolk County, NY"	"36103"	"White"	"2106-3"	530	140143	3.78
	"Westchester County, NY"	"36119"	"Asian or Pacific Islander"	"A-PI"	27	8183	3.30
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	180	19953	9.02
	"Westchester County, NY"	"36119"	"White"	"2106-3"	271	80802	3.35
	"Unidentified Counties, NY"	"36999"	"American Indian or Alaska Native"	"1002-5"	21	2773	7.57
	"Unidentified Counties, NY"	"36999"	"Asian or Pacific Islander"	"A-PI"	56	10588	5.29
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	293	22612	12.96
	"Unidentified Counties, NY"	"36999"	"White"	"2106-3"	2133	379706	5.62
	"Cumberland County, NC"	"37051"	"Black or African American"	"2054-5"	298	21576	13.81
	"Cumberland County, NC"	"37051"	"White"	"2106-3"	238	32423	7.34
	"Durham County, NC"	"37063"	"Black or African American"	"2054-5"	51	4879	10.45
	"Durham County, NC"	"37063"	"White"	"2106-3"	30	7179	4.18
	"Forsyth County, NC"	"37067"	"Asian or Pacific Islander"	"A-PI"	11	1499	7.34 (Unreliable)
	"Forsyth County, NC"	"37067"	"Black or African American"	"2054-5"	213	14401	14.79
	"Forsyth County, NC"	"37067"	"White"	"2106-3"	212	30762	6.89
	"Guilford County, NC"	"37081"	"Asian or Pacific Islander"	"A-PI"	25	4185	5.97
	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	317	25419	12.47
	"Guilford County, NC"	"37081"	"White"	"2106-3"	193	31683	6.09
	"Mecklenburg County, NC"	"37119"	"Asian or Pacific Islander"	"A-PI"	66	11431	5.77
	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	498	48920	10.18
	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	320	82817	3.86
	"Wake County, NC"	"37183"	"Asian or Pacific Islander"	"A-PI"	34	10333	3.29
	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	384	30851	12.45
	"Wake County, NC"	"37183"	"White"	"2106-3"	377	86597	4.35
	"Unidentified Counties, NC"	"37999"	"American Indian or Alaska Native"	"1002-5"	193	16004	12.06
	"Unidentified Counties, NC"	"37999"	"Asian or Pacific Islander"	"A-PI"	90	19785	4.55
	"Unidentified Counties, NC"	"37999"	"Black or African American"	"2054-5"	2253	168683	13.36
	"Unidentified Counties, NC"	"37999"	"White"	"2106-3"	3443	577422	5.96
	"Unidentified Counties, ND"	"38999"	"American Indian or Alaska Native"	"1002-5"	144	10219	14.09
	"Unidentified Counties, ND"	"38999"	"Asian or Pacific Islander"	"A-PI"	16	2281	7.01 (Unreliable)
	"Unidentified Counties, ND"	"38999"	"Black or African American"	"2054-5"	31	3565	8.70
	"Unidentified Counties, ND"	"38999"	"White"	"2106-3"	449	84106	5.34
	"Butler County, OH"	"39017"	"Black or African American"	"2054-5"	59	4996	11.81
	"Butler County, OH"	"39017"	"White"	"2106-3"	279	40083	6.96
	"Cuyahoga County, OH"	"39035"	"Asian or Pacific Islander"	"A-PI"	19	6253	3.04 (Unreliable)
	"Cuyahoga County, OH"	"39035"	"Black or African American"	"2054-5"	903	61060	14.79
	"Cuyahoga County, OH"	"39035"	"White"	"2106-3"	480	85203	5.63
	"Franklin County, OH"	"39049"	"Asian or Pacific Islander"	"A-PI"	57	10749	5.30
	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	737	55749	13.22
	"Franklin County, OH"	"39049"	"White"	"2106-3"	749	117968	6.35
	"Hamilton County, OH"	"39061"	"Asian or Pacific Islander"	"A-PI"	17	3641	4.67 (Unreliable)
	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	612	38789	15.78
	"Hamilton County, OH"	"39061"	"White"	"2106-3"	457	68892	6.63
	"Lorain County, OH"	"39093"	"Black or African American"	"2054-5"	54	4692	11.51
	"Lorain County, OH"	"39093"	"White"	"2106-3"	168	28941	5.80
	"Lucas County, OH"	"39095"	"Black or African American"	"2054-5"	187	15801	11.83
	"Lucas County, OH"	"39095"	"White"	"2106-3"	242	41429	5.84
	"Mahoning County, OH"	"39099"	"Black or African American"	"2054-5"	69	4593	15.02
	"Mahoning County, OH"	"39099"	"White"	"2106-3"	89	12449	7.15
	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	237	18635	12.72
	"Montgomery County, OH"	"39113"	"White"	"2106-3"	284	47478	5.98
	"Stark County, OH"	"39151"	"Black or African American"	"2054-5"	76	5029	15.11
	"Stark County, OH"	"39151"	"White"	"2106-3"	255	36933	6.90
	"Summit County, OH"	"39153"	"Asian or Pacific Islander"	"A-PI"	14	2798	5.00 (Unreliable)
	"Summit County, OH"	"39153"	"Black or African American"	"2054-5"	170	13516	12.58
	"Summit County, OH"	"39153"	"White"	"2106-3"	266	45712	5.82
	"Unidentified Counties, OH"	"39999"	"American Indian or Alaska Native"	"1002-5"	10	1134	8.82 (Unreliable)
	"Unidentified Counties, OH"	"39999"	"Asian or Pacific Islander"	"A-PI"	43	10008	4.30
	"Unidentified Counties, OH"	"39999"	"Black or African American"	"2054-5"	343	27184	12.62
	"Unidentified Counties, OH"	"39999"	"White"	"2106-3"	3722	598447	6.22
	"Cleveland County, OK"	"40027"	"White"	"2106-3"	39	7413	5.26
	"Oklahoma County, OK"	"40109"	"American Indian or Alaska Native"	"1002-5"	40	5622	7.11
	"Oklahoma County, OK"	"40109"	"Asian or Pacific Islander"	"A-PI"	25	4813	5.19
	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	288	23052	12.49
	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	597	89544	6.67
	"Tulsa County, OK"	"40143"	"American Indian or Alaska Native"	"1002-5"	62	7118	8.71
	"Tulsa County, OK"	"40143"	"Asian or Pacific Islander"	"A-PI"	20	3603	5.55
	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	189	13379	14.13
	"Tulsa County, OK"	"40143"	"White"	"2106-3"	466	70873	6.58
	"Unidentified Counties, OK"	"40999"	"American Indian or Alaska Native"	"1002-5"	418	48929	8.54
	"Unidentified Counties, OK"	"40999"	"Asian or Pacific Islander"	"A-PI"	43	6295	6.83
	"Unidentified Counties, OK"	"40999"	"Black or African American"	"2054-5"	178	14697	12.11
	"Unidentified Counties, OK"	"40999"	"White"	"2106-3"	1667	238196	7.00
	"Clackamas County, OR"	"41005"	"White"	"2106-3"	157	37116	4.23
	"Lane County, OR"	"41039"	"Asian or Pacific Islander"	"A-PI"	12	1327	9.04 (Unreliable)
	"Lane County, OR"	"41039"	"White"	"2106-3"	164	33142	4.95
	"Marion County, OR"	"41047"	"Asian or Pacific Islander"	"A-PI"	10	1903	5.25 (Unreliable)
	"Marion County, OR"	"41047"	"White"	"2106-3"	234	42645	5.49
	"Multnomah County, OR"	"41051"	"American Indian or Alaska Native"	"1002-5"	10	1152	8.68 (Unreliable)
	"Multnomah County, OR"	"41051"	"Asian or Pacific Islander"	"A-PI"	33	8921	3.70
	"Multnomah County, OR"	"41051"	"Black or African American"	"2054-5"	83	7991	10.39
	"Multnomah County, OR"	"41051"	"White"	"2106-3"	384	78609	4.88
	"Washington County, OR"	"41067"	"Asian or Pacific Islander"	"A-PI"	46	9767	4.71
	"Washington County, OR"	"41067"	"Black or African American"	"2054-5"	12	1903	6.31 (Unreliable)
	"Washington County, OR"	"41067"	"White"	"2106-3"	251	60566	4.14
	"Unidentified Counties, OR"	"41999"	"American Indian or Alaska Native"	"1002-5"	50	5185	9.64
	"Unidentified Counties, OR"	"41999"	"Asian or Pacific Islander"	"A-PI"	24	3707	6.47
	"Unidentified Counties, OR"	"41999"	"Black or African American"	"2054-5"	10	1389	7.20 (Unreliable)
	"Unidentified Counties, OR"	"41999"	"White"	"2106-3"	830	161290	5.15
	"Allegheny County, PA"	"42003"	"Asian or Pacific Islander"	"A-PI"	27	7100	3.80
	"Allegheny County, PA"	"42003"	"Black or African American"	"2054-5"	396	27458	14.42
	"Allegheny County, PA"	"42003"	"White"	"2106-3"	462	97284	4.75
	"Berks County, PA"	"42011"	"Asian or Pacific Islander"	"A-PI"	10	1269	7.88 (Unreliable)
	"Berks County, PA"	"42011"	"Black or African American"	"2054-5"	85	6105	13.92
	"Berks County, PA"	"42011"	"White"	"2106-3"	249	41497	6.00
	"Bucks County, PA"	"42017"	"Asian or Pacific Islander"	"A-PI"	17	4131	4.12 (Unreliable)
	"Bucks County, PA"	"42017"	"Black or African American"	"2054-5"	39	4127	9.45
