"Notes"	"Hispanic Origin"	"Hispanic Origin Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"Central or South American"	"4"	"Other specified congenital musculoskeletal deformities"	"Q68.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Thanatophoric short stature"	"Q77.1"	2	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Osteochondrodysplasia, unspecified"	"Q78.9"	3	143983	0.02 (Unreliable)
	"Central or South American"	"4"	"Congenital diaphragmatic hernia"	"Q79.0"	5	143983	0.03 (Unreliable)
	"Central or South American"	"4"	"Exomphalos"	"Q79.2"	3	143983	0.02 (Unreliable)
	"Central or South American"	"4"	"Other congenital malformations of musculoskeletal system"	"Q79.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Other specified congenital malformations of skin"	"Q82.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Congenital malformation syndromes predominantly associated with short stature"	"Q87.1"	2	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Other specified congenital malformation syndromes, not elsewhere classified"	"Q87.8"	2	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Situs inversus"	"Q89.3"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	14	143983	0.10 (Unreliable)
	"Central or South American"	"4"	"Other specified congenital malformations"	"Q89.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Congenital malformation, unspecified"	"Q89.9"	12	143983	0.08 (Unreliable)
	"Central or South American"	"4"	"Down syndrome, unspecified"	"Q90.9"	3	143983	0.02 (Unreliable)
	"Central or South American"	"4"	"Edwards syndrome, unspecified"	"Q91.3"	21	143983	0.15
	"Central or South American"	"4"	"Patau syndrome, unspecified"	"Q91.7"	16	143983	0.11 (Unreliable)
	"Central or South American"	"4"	"Other specified trisomies and partial trisomies of autosomes"	"Q92.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Deletion of short arm of chromosome 4"	"Q93.3"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Other deletions of part of a chromosome"	"Q93.5"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Other deletions from the autosomes"	"Q93.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Chromosomal abnormality, unspecified"	"Q99.9"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Respiratory arrest"	"R09.2"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Other specified symptoms and signs involving the circulatory and respiratory systems"	"R09.8"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Sudden infant death syndrome - SIDS"	"R95"	13	143983	0.09 (Unreliable)
	"Central or South American"	"4"	"Other ill-defined and unspecified causes of mortality"	"R99"	20	143983	0.14
	"Central or South American"	"4"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Fall involving bed"	"W06"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Drowning and submersion while in bath-tub"	"W65"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Accidental suffocation and strangulation in bed"	"W75"	4	143983	0.03 (Unreliable)
	"Central or South American"	"4"	"By unspecified person"	"Y07.9"	2	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Assault by unspecified means"	"Y09"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Hanging, strangulation and suffocation, undetermined intent"	"Y20"	1	143983	0.01 (Unreliable)
	"Central or South American"	"4"	"Drowning and submersion, undetermined intent"	"Y21"	1	143983	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	12	145381	0.08 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Septicaemia, unspecified"	"A41.9"	5	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified viral encephalitis"	"A86"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Cytomegaloviral disease, unspecified"	"B25.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified viral diseases"	"B33.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Adenovirus infection, unspecified"	"B34.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other viral infections of unspecified site"	"B34.8"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Liver, gallbladder and bile ducts - Uncertain neoplasms"	"D37.6"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Coagulation defect, unspecified"	"D68.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Short stature, not elsewhere classified"	"E34.3"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Disorders of galactose metabolism"	"E74.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other sphingolipidosis"	"E75.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Acidosis"	"E87.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hyperkalaemia"	"E87.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Metabolic disorder, unspecified"	"E88.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Spinal muscular atrophy, unspecified"	"G12.9"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified polyneuropathies"	"G62.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Polyneuropathy, unspecified"	"G62.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Encephalopathy, unspecified"	"G93.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified disorders of brain"	"G93.8"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Disease of pulmonary vessels, unspecified"	"I28.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pericardial effusion (noninflammatory)"	"I31.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other hypertrophic cardiomyopathy"	"I42.2"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Cardiomyopathy, unspecified"	"I42.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Myocarditis, unspecified"	"I51.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Cardiomegaly"	"I51.7"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other cerebral infarction"	"I63.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified cerebrovascular diseases"	"I67.8"	4	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Bronchopneumonia, unspecified"	"J18.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pneumonia, unspecified"	"J18.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Acute bronchiolitis due to other specified organisms"	"J21.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Interstitial pulmonary disease, unspecified"	"J84.9"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Spontaneous tension pneumothorax"	"J93.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other disorders of lung"	"J98.4"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified respiratory disorders"	"J98.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Acute vascular disorders of intestine"	"K55.0"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Volvulus"	"K56.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Peritoneal adhesions"	"K66.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hepatic failure, unspecified"	"K72.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Cutaneous abscess, furuncle and carbuncle of trunk"	"L02.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Chronic renal failure, unspecified"	"N18.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Urinary tract infection, site not specified"	"N39.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by maternal renal and urinary tract diseases"	"P00.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by maternal injury"	"P00.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by unspecified maternal condition"	"P00.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by incompetent cervix"	"P01.0"	15	145381	0.10 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by premature rupture of membranes"	"P01.1"	22	145381	0.15
	"Other and Unknown Hispanic"	"5"	"Newborn affected by oligohydramnios"	"P01.2"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by multiple pregnancy"	"P01.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	10	145381	0.07 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other and unspecified morphological and functional abnormalities of placenta"	"P02.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by placental transfusion syndromes"	"P02.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by prolapsed cord"	"P02.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other compression of umbilical cord"	"P02.5"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by chorioamnionitis"	"P02.7"	15	145381	0.10 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other malpresentation, malposition and disproportion during labour and delivery"	"P03.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Slow fetal growth, unspecified"	"P05.9"	5	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Extremely low birth weight"	"P07.0"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other low birth weight"	"P07.1"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Extreme immaturity"	"P07.2"	103	145381	0.71
	"Other and Unknown Hispanic"	"5"	"Other preterm infants"	"P07.3"	28	145381	0.19
	"Other and Unknown Hispanic"	"5"	"Intrauterine hypoxia, unspecified"	"P20.9"	7	145381	0.05 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Birth asphyxia, unspecified"	"P21.9"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Respiratory distress syndrome of newborn"	"P22.0"	14	145381	0.10 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Respiratory distress of newborn, unspecified"	"P22.9"	4	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital pneumonia due to viral agent"	"P23.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pneumothorax originating in the perinatal period"	"P25.1"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pneumopericardium originating in the perinatal period"	"P25.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Primary atelectasis of newborn"	"P28.0"	8	145381	0.06 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other apnoea of newborn"	"P28.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Neonatal cardiac failure"	"P29.0"	17	145381	0.12 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Neonatal cardiac dysrhythmia"	"P29.1"	16	145381	0.11 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Persistent fetal circulation"	"P29.3"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other bacterial sepsis of newborn"	"P36.8"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	8	145381	0.06 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Neonatal candidiasis"	"P37.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified infections specific to the perinatal period"	"P39.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Infection specific to the perinatal period, unspecified"	"P39.9"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Intracerebral (nontraumatic) haemorrhage of newborn"	"P52.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Cerebellar (nontraumatic) and posterior fossa haemorrhage of newborn"	"P52.6"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Neonatal haemorrhage, unspecified"	"P54.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other haemolytic diseases of newborn"	"P55.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Haemolytic disease of newborn, unspecified"	"P55.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Disseminated intravascular coagulation of newborn"	"P60"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Syndrome of infant of a diabetic mother"	"P70.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Neonatal diabetes mellitus"	"P70.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Necrotizing enterocolitis of newborn"	"P77"	18	145381	0.12 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Perinatal intestinal perforation"	"P78.0"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	5	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital renal failure"	"P96.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Termination of pregnancy, newborn"	"P96.4"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified conditions originating in the perinatal period"	"P96.8"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Condition originating in the perinatal period, unspecified"	"P96.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Anencephaly"	"Q00.0"	12	145381	0.08 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Encephalocele of other sites"	"Q01.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Encephalocele, unspecified"	"Q01.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Atresia of foramina of Magendie and Luschka"	"Q03.1"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital hydrocephalus, unspecified"	"Q03.9"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Holoprosencephaly"	"Q04.2"	6	145381	0.04 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other reduction deformities of brain"	"Q04.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Septo-optic dysplasia"	"Q04.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital malformation of brain, unspecified"	"Q04.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Discordant ventriculoarterial connection"	"Q20.3"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Tetralogy of Fallot"	"Q21.3"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Pulmonary valve atresia"	"Q22.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other congenital malformations of pulmonary valve"	"Q22.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital tricuspid stenosis"	"Q22.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Ebstein anomaly"	"Q22.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other congenital malformations of tricuspid valve"	"Q22.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hypoplastic left heart syndrome"	"Q23.4"	9	145381	0.06 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified congenital malformations of heart"	"Q24.8"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital malformation of heart, unspecified"	"Q24.9"	14	145381	0.10 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other congenital malformations of aorta"	"Q25.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Atresia of pulmonary artery"	"Q25.5"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other congenital malformations of great veins"	"Q26.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Peripheral arteriovenous malformation"	"Q27.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Arteriovenous malformation of cerebral vessels"	"Q28.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital tracheomalacia"	"Q32.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other congenital malformations of trachea"	"Q32.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hypoplasia and dysplasia of lung"	"Q33.6"	16	145381	0.11 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified cleft palate with cleft lip, unilateral"	"Q37.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital tracheo-oesophageal fistula without atresia"	"Q39.2"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Renal agenesis, bilateral"	"Q60.1"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Renal agenesis, unspecified"	"Q60.2"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Polycystic kidney, infantile type"	"Q61.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Polycystic kidney, unspecified"	"Q61.3"	5	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Renal dysplasia"	"Q61.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital hydronephrosis"	"Q62.0"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other atresia and stenosis of urethra and bladder neck"	"Q64.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified congenital musculoskeletal deformities"	"Q68.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Thanatophoric short stature"	"Q77.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Osteochondrodysplasia, unspecified"	"Q78.9"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital diaphragmatic hernia"	"Q79.0"	7	145381	0.05 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Exomphalos"	"Q79.2"	4	145381	0.03 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Prune belly syndrome"	"Q79.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Epidermolysis bullosa letalis"	"Q81.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital malformation syndromes predominantly associated with short stature"	"Q87.1"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	10	145381	0.07 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified congenital malformations"	"Q89.8"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Congenital malformation, unspecified"	"Q89.9"	7	145381	0.05 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Edwards syndrome, unspecified"	"Q91.3"	16	145381	0.11 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Patau syndrome, unspecified"	"Q91.7"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Triploidy and polyploidy"	"Q92.7"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified trisomies and partial trisomies of autosomes"	"Q92.8"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Trisomy and partial trisomy of autosomes, unspecified"	"Q92.9"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Deletion of short arm of chromosome 4"	"Q93.3"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Deletion of short arm of chromosome 5"	"Q93.4"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other deletions of part of a chromosome"	"Q93.5"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Haemorrhage, not elsewhere classified"	"R58"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Sudden infant death syndrome - SIDS"	"R95"	26	145381	0.18
	"Other and Unknown Hispanic"	"5"	"Other ill-defined and unspecified causes of mortality"	"R99"	51	145381	0.35
	"Other and Unknown Hispanic"	"5"	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Drowning and submersion while in bath-tub"	"W65"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Drowning and submersion while in swimming-pool"	"W67"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified drowning and submersion"	"W74"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Accidental suffocation and strangulation in bed"	"W75"	14	145381	0.10 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified threat to breathing"	"W84"	3	145381	0.02 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Exposure to uncontrolled fire in building or structure"	"X00"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Assault by drugs, medicaments and biological substances"	"X85"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Assault by hanging, strangulation and suffocation"	"X91"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Assault by bodily force"	"Y04"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Assault by other specified means"	"Y08"	1	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Assault by unspecified means"	"Y09"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Hanging, strangulation and suffocation, undetermined intent"	"Y20"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Unspecified event, undetermined intent"	"Y34"	2	145381	0.01 (Unreliable)
	"Other and Unknown Hispanic"	"5"	"Other specified misadventures during surgical and medical care"	"Y65.8"	1	145381	0.01 (Unreliable)
	"Non-Hispanic White"	"6"	"Salmonella septicaemia"	"A02.1"	1	2094054	0.00 (Unreliable)
	"Non-Hispanic White"	"6"	"Enterocolitis due to Clostridium difficile"	"A04.7"	1	2094054	0.00 (Unreliable)
